what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178538059
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178600764
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1298178605062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178605345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178607176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178608899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178611237
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1298178612039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178612360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178618379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298178618416
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179004045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298179060628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298179065014
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298179073766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179075562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179077549
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1298179085784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179086086
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179090667
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179092550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179113697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179115998
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179116797
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1298179118368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179118673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179123267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179126053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179126684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179126722
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179168453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179203515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179216808
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1298179236482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298179239543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298179247997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179258047
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179260349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179261560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179265583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179272945
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179273721
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1298179275132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179275438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179281234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179281256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179307420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298179316809
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179318404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179320460
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1298179324220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179324517
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179327661
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179328261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179330334
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1298179331369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179331658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179336227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179336605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179337753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179337794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298179385088
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298179396254
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298179397281
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1298179400098
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298179400326
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298179400407
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298179408250
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298179410241
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298179412411
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1298179416616
